attack_type,threat_level,instruction_preview,output_preview
DDoS,CRITICAL,"Đánh giá mức độ nguy hiểm của flow mạng này và đề xuất biện pháp ứng phó:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời g...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Phân tích flow mạng sau và đưa ra đánh giá bảo mật:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: trung bình (...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: d...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Hệ thống SIEM cảnh báo về flow mạng sau. Hãy phân tích và đề xuất hành động:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thờ...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Phân tích flow mạng sau và đưa ra đánh giá bảo mật:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: dài (1.6 phú...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Hệ thống SIEM cảnh báo về flow mạng sau. Hãy phân tích và đề xuất hành động:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thờ...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: n...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Đánh giá mức độ nguy hiểm của flow mạng này và đề xuất biện pháp ứng phó:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời g...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Phân tích flow mạng sau và đưa ra đánh giá bảo mật:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: ngắn (30.2ms...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Đánh giá mức độ nguy hiểm của flow mạng này và đề xuất biện pháp ứng phó:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời g...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Đánh giá mức độ nguy hiểm của flow mạng này và đề xuất biện pháp ứng phó:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời g...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Hệ thống SIEM cảnh báo về flow mạng sau. Hãy phân tích và đề xuất hành động:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thờ...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Phân tích flow mạng sau và đưa ra đánh giá bảo mật:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: ngắn (33.3ms...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: n...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Hệ thống SIEM cảnh báo về flow mạng sau. Hãy phân tích và đề xuất hành động:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thờ...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Đánh giá mức độ nguy hiểm của flow mạng này và đề xuất biện pháp ứng phó:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời g...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Phân tích flow mạng sau và đưa ra đánh giá bảo mật:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: trung bình (...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Với tư cách chuyên gia SOC, hãy phân loại và xử lý luồng mạng:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thời gian flow: t...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
DDoS,CRITICAL,"Hệ thống SIEM cảnh báo về flow mạng sau. Hãy phân tích và đề xuất hành động:
Giao thức: TCP | Cổng đích: 80 (HTTP) | Thờ...","**PHÂN TÍCH FLOW MẠNG**

Mức độ đe dọa: CRITICAL
Phân loại: Distributed Denial of Service (DDoS)

**Nhận định:**
Flow thể hiện đặc trưng của tấn công DDoS: lưu lượng cực cao, tốc độ gói tin bất thường..."
